video,frame_t,dt,class_id,area_t,remain_ratio,type
127_-hIVCYO4C90,0,5,13,366,0.0000,vanish
127_-hIVCYO4C90,2,5,9,2682,0.0030,vanish
127_-hIVCYO4C90,2,5,68,409,0.2054,shrink
127_-hIVCYO4C90,3,5,9,2463,0.0000,vanish
127_-hIVCYO4C90,3,5,68,375,0.0293,vanish
127_-hIVCYO4C90,4,4,9,2144,0.0000,vanish
127_-hIVCYO4C90,4,5,68,334,0.0000,vanish
127_-hIVCYO4C90,5,3,9,1910,0.0000,vanish
127_-hIVCYO4C90,6,1,9,306,0.0000,vanish
127_-hIVCYO4C90,6,2,9,581,0.0000,vanish
127_-hIVCYO4C90,7,5,13,590,0.0949,vanish
127_-hIVCYO4C90,8,5,13,618,0.0307,vanish
127_-hIVCYO4C90,9,5,13,523,0.0000,vanish
127_-hIVCYO4C90,9,5,61,969,0.2167,shrink
127_-hIVCYO4C90,10,4,13,384,0.0000,vanish
127_-hIVCYO4C90,11,3,13,317,0.0000,vanish
127_-hIVCYO4C90,11,5,61,640,0.0891,vanish
127_-hIVCYO4C90,12,5,61,445,0.0000,vanish
127_-hIVCYO4C90,13,5,1,3007,0.1896,shrink
127_-hIVCYO4C90,13,4,61,306,0.0000,vanish
127_-hIVCYO4C90,14,5,1,2598,0.0081,vanish
127_-hIVCYO4C90,15,5,1,2196,0.0000,vanish
127_-hIVCYO4C90,16,4,1,1503,0.0000,vanish
127_-hIVCYO4C90,16,5,60,642,0.0171,vanish
127_-hIVCYO4C90,17,3,1,1157,0.0000,vanish
127_-hIVCYO4C90,17,5,60,601,0.0000,vanish
127_-hIVCYO4C90,18,2,1,570,0.0000,vanish
127_-hIVCYO4C90,18,4,60,550,0.0000,vanish
127_-hIVCYO4C90,20,5,13,1613,0.2331,shrink
127_-hIVCYO4C90,20,3,61,307,0.0000,vanish
127_-hIVCYO4C90,23,5,60,562,0.0000,vanish
127_-hIVCYO4C90,24,4,60,497,0.0000,vanish
127_-hIVCYO4C90,25,3,60,423,0.0000,vanish
127_-hIVCYO4C90,29,5,13,1006,0.1829,shrink
127_-hIVCYO4C90,30,5,13,1047,0.1165,shrink
127_-hIVCYO4C90,31,5,13,791,0.0480,vanish
127_-hIVCYO4C90,32,5,13,650,0.0000,vanish
127_-hIVCYO4C90,33,5,13,753,0.1527,shrink
127_-hIVCYO4C90,33,4,13,427,0.0000,vanish
